time,year,fish,port,landings
UTC,,,,pounds
1934-04-16T00:00:00Z,1934,"Sardine, Pacific",San Diego,1700
1934-05-16T00:00:00Z,1934,"Sardine, Pacific",San Diego,0
1934-06-16T00:00:00Z,1934,"Sardine, Pacific",San Diego,1200
1934-07-16T00:00:00Z,1934,"Sardine, Pacific",San Diego,47
1934-08-16T00:00:00Z,1934,"Sardine, Pacific",San Diego,0
1934-09-16T00:00:00Z,1934,"Sardine, Pacific",San Diego,450
1934-10-16T00:00:00Z,1934,"Sardine, Pacific",San Diego,100
1934-11-16T00:00:00Z,1934,"Sardine, Pacific",San Diego,244326
1934-12-16T00:00:00Z,1934,"Sardine, Pacific",San Diego,825854
1935-01-16T00:00:00Z,1935,"Sardine, Pacific",San Diego,4179298
1935-02-16T00:00:00Z,1935,"Sardine, Pacific",San Diego,3992971
1935-03-16T00:00:00Z,1935,"Sardine, Pacific",San Diego,481261
1935-04-16T00:00:00Z,1935,"Sardine, Pacific",San Diego,0
1935-05-16T00:00:00Z,1935,"Sardine, Pacific",San Diego,0
1935-06-16T00:00:00Z,1935,"Sardine, Pacific",San Diego,0
1935-07-16T00:00:00Z,1935,"Sardine, Pacific",San Diego,0
1935-08-16T00:00:00Z,1935,"Sardine, Pacific",San Diego,0
1935-09-16T00:00:00Z,1935,"Sardine, Pacific",San Diego,0
1935-10-16T00:00:00Z,1935,"Sardine, Pacific",San Diego,60
1935-11-16T00:00:00Z,1935,"Sardine, Pacific",San Diego,572060
1935-12-16T00:00:00Z,1935,"Sardine, Pacific",San Diego,4872743
1936-01-16T00:00:00Z,1936,"Sardine, Pacific",San Diego,5468906
1936-02-16T00:00:00Z,1936,"Sardine, Pacific",San Diego,6933457
1936-03-16T00:00:00Z,1936,"Sardine, Pacific",San Diego,3128826
1936-04-16T00:00:00Z,1936,"Sardine, Pacific",San Diego,102199
1936-05-16T00:00:00Z,1936,"Sardine, Pacific",San Diego,221420
1936-06-16T00:00:00Z,1936,"Sardine, Pacific",San Diego,0
1936-07-16T00:00:00Z,1936,"Sardine, Pacific",San Diego,0
1936-08-16T00:00:00Z,1936,"Sardine, Pacific",San Diego,0
1936-09-16T00:00:00Z,1936,"Sardine, Pacific",San Diego,95
1936-10-16T00:00:00Z,1936,"Sardine, Pacific",San Diego,396
1936-11-16T00:00:00Z,1936,"Sardine, Pacific",San Diego,0
1936-12-16T00:00:00Z,1936,"Sardine, Pacific",San Diego,0
1937-01-16T00:00:00Z,1937,"Sardine, Pacific",San Diego,43665
1937-02-16T00:00:00Z,1937,"Sardine, Pacific",San Diego,4819291
1937-03-16T00:00:00Z,1937,"Sardine, Pacific",San Diego,4275065
1937-04-16T00:00:00Z,1937,"Sardine, Pacific",San Diego,70
1937-05-16T00:00:00Z,1937,"Sardine, Pacific",San Diego,48965
1937-06-16T00:00:00Z,1937,"Sardine, Pacific",San Diego,5565
1937-07-16T00:00:00Z,1937,"Sardine, Pacific",San Diego,341
1937-08-16T00:00:00Z,1937,"Sardine, Pacific",San Diego,432
1937-09-16T00:00:00Z,1937,"Sardine, Pacific",San Diego,0
1937-10-16T00:00:00Z,1937,"Sardine, Pacific",San Diego,0
1937-11-16T00:00:00Z,1937,"Sardine, Pacific",San Diego,146705
1937-12-16T00:00:00Z,1937,"Sardine, Pacific",San Diego,67560
1938-01-16T00:00:00Z,1938,"Sardine, Pacific",San Diego,0
1938-02-16T00:00:00Z,1938,"Sardine, Pacific",San Diego,214915
1938-03-16T00:00:00Z,1938,"Sardine, Pacific",San Diego,150245
1938-04-16T00:00:00Z,1938,"Sardine, Pacific",San Diego,112035
1938-05-16T00:00:00Z,1938,"Sardine, Pacific",San Diego,68487
1938-06-16T00:00:00Z,1938,"Sardine, Pacific",San Diego,4435
1938-07-16T00:00:00Z,1938,"Sardine, Pacific",San Diego,1929
1938-08-16T00:00:00Z,1938,"Sardine, Pacific",San Diego,2766
1938-09-16T00:00:00Z,1938,"Sardine, Pacific",San Diego,1487
1938-10-16T00:00:00Z,1938,"Sardine, Pacific",San Diego,1028
1938-11-16T00:00:00Z,1938,"Sardine, Pacific",San Diego,4862016
1938-12-16T00:00:00Z,1938,"Sardine, Pacific",San Diego,93560
1939-01-16T00:00:00Z,1939,"Sardine, Pacific",San Diego,38803
1939-02-16T00:00:00Z,1939,"Sardine, Pacific",San Diego,312290
1939-03-16T00:00:00Z,1939,"Sardine, Pacific",San Diego,278865
1939-04-16T00:00:00Z,1939,"Sardine, Pacific",San Diego,877
1939-05-16T00:00:00Z,1939,"Sardine, Pacific",San Diego,865
1939-06-16T00:00:00Z,1939,"Sardine, Pacific",San Diego,6835
1939-07-16T00:00:00Z,1939,"Sardine, Pacific",San Diego,559
1939-08-16T00:00:00Z,1939,"Sardine, Pacific",San Diego,855
1939-09-16T00:00:00Z,1939,"Sardine, Pacific",San Diego,974
1939-10-16T00:00:00Z,1939,"Sardine, Pacific",San Diego,1246
1939-11-16T00:00:00Z,1939,"Sardine, Pacific",San Diego,161602
1939-12-16T00:00:00Z,1939,"Sardine, Pacific",San Diego,27868
1940-01-16T00:00:00Z,1940,"Sardine, Pacific",San Diego,19410
1940-02-16T00:00:00Z,1940,"Sardine, Pacific",San Diego,1205
1940-03-16T00:00:00Z,1940,"Sardine, Pacific",San Diego,1193
1940-04-16T00:00:00Z,1940,"Sardine, Pacific",San Diego,400
1940-05-16T00:00:00Z,1940,"Sardine, Pacific",San Diego,1493
1940-06-16T00:00:00Z,1940,"Sardine, Pacific",San Diego,490
1940-07-16T00:00:00Z,1940,"Sardine, Pacific",San Diego,1470
1940-08-16T00:00:00Z,1940,"Sardine, Pacific",San Diego,983
1940-09-16T00:00:00Z,1940,"Sardine, Pacific",San Diego,260
1940-10-16T00:00:00Z,1940,"Sardine, Pacific",San Diego,289
1940-11-16T00:00:00Z,1940,"Sardine, Pacific",San Diego,425199
1940-12-16T00:00:00Z,1940,"Sardine, Pacific",San Diego,1654569
1941-01-16T00:00:00Z,1941,"Sardine, Pacific",San Diego,289862
1941-02-16T00:00:00Z,1941,"Sardine, Pacific",San Diego,29000
1941-03-16T00:00:00Z,1941,"Sardine, Pacific",San Diego,0
1941-04-16T00:00:00Z,1941,"Sardine, Pacific",San Diego,0
1941-05-16T00:00:00Z,1941,"Sardine, Pacific",San Diego,1557
1941-06-16T00:00:00Z,1941,"Sardine, Pacific",San Diego,59945
1941-07-16T00:00:00Z,1941,"Sardine, Pacific",San Diego,7053
